full_name,element_type,total_points,minutes_points,bonus,goals_scored_points,assists_points,penalty_misses_points,own_goals_points,goals_conceded_points,saves_points,penalty_saves_points,clean_sheet_points,yellow_cards_points,red_cards_points
Tariq Lamptey,DEF,31,26,0,0,9,0,0,-5,0,0,4,-3,0
Solly March,MID,39,14,6,15,3,0,0,0,0,0,2,-1,0
Tom McGill,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,MID,28,21,0,0,6,0,0,0,0,0,4,-3,0
Kaoru Mitoma,MID,74,34,7,15,21,0,0,0,0,0,1,-4,0
Jakub Moder,MID,21,22,0,0,0,0,0,0,0,0,1,-2,0
Jeremy Sarmiento Morante,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,GK,42,34,5,0,0,0,0,-13,8,0,8,0,0
Deniz Undav,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Paul van Hecke,DEF,61,54,3,0,0,0,0,-12,0,0,20,-4,0
Joël Veltman,DEF,49,41,0,6,3,0,0,-9,0,0,12,-4,0
Bart Verbruggen,GK,68,42,7,0,0,0,0,-8,14,0,16,-3,0
Adam Webster,DEF,26,27,2,0,0,0,-2,-7,0,0,8,-2,0
Danny Welbeck,FWD,79,46,5,20,12,0,0,0,0,0,0,-4,0
Andi Zeqiri,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor Julio dos Santos de Paulo,DEF,37,40,1,0,0,0,0,-8,0,0,8,-4,0
Jack Hinshelwood,MID,42,21,5,15,0,0,0,0,0,0,2,-1,0
Carlos Baleba,MID,34,39,0,0,0,0,0,0,0,0,2,-7,0
Anssumane Fati Vieira,MID,33,20,1,10,3,0,0,0,0,0,1,-2,0
Mark O’Mahony,FWD,2,3,0,0,0,0,0,0,0,0,0,-1,0
Benicio Baker-Boaitey,MID,4,5,0,0,0,0,0,0,0,0,0,-1,0
Ben Jackson,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Duffus,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Leigh Kavanagh,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Barrington,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Peupion,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentín Barco,DEF,5,9,0,0,0,0,0,-3,0,0,0,-1,0
Samy Chouchane,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Odeluga Offiah,DEF,4,5,0,0,0,0,0,-1,0,0,0,0,0
Noël Atom,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Enock Agyei,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameen Al-Dakhil,DEF,19,24,0,6,0,0,-2,-8,0,0,0,-1,0
Samuel Bastien,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Benson Hedilazio,MID,8,8,0,0,0,0,0,0,0,0,0,0,0
Jordan Beyer,DEF,30,29,4,0,3,0,0,-8,0,0,8,-6,0
Josh Brownhill,MID,78,55,2,20,6,0,0,0,0,0,2,-4,-3
Darko Churlinov,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,MID,4,4,0,0,0,0,0,0,0,0,0,0,0
