full_name,element_type,total_points,minutes_points,bonus,goals_scored_points,assists_points,penalty_misses_points,own_goals_points,goals_conceded_points,saves_points,penalty_saves_points,clean_sheet_points,yellow_cards_points,red_cards_points
Josh Powell,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzalo Montiel,DEF,28,21,4,0,6,0,0,-2,0,0,4,-5,0
Murillo Santiago Costa dos Santos,DEF,58,63,1,0,6,0,-2,-17,0,0,12,-5,0
Odysseas Vlachodimos,GK,12,10,0,0,0,0,0,-4,2,0,4,0,0
Andrew Omobamidele,DEF,11,19,0,0,0,0,-2,-4,0,0,0,-2,0
Nicolás Domínguez,MID,67,43,6,10,6,0,0,0,0,0,6,-4,0
Ibrahim Sangaré,MID,25,27,0,0,0,0,0,0,0,0,4,-6,0
Divock Origi,FWD,25,23,0,0,3,0,0,0,0,0,0,-1,0
Jamie McDonnell,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Detlef Esapa Osong,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gardner,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Reyna,MID,13,10,0,0,3,0,0,0,0,0,0,0,0
Matz Sels,GK,34,32,1,0,0,0,0,-8,6,0,4,-1,0
Rodrigo Duarte Ribeiro,FWD,4,4,0,0,0,0,0,0,0,0,0,0,0
Auston Trusty,DEF,28,60,0,0,0,0,0,-32,0,0,4,-4,0
Cameron Archer,FWD,82,50,9,16,9,0,0,0,0,0,0,-2,0
Mason Holgate,DEF,1,18,0,0,0,0,0,-11,0,0,0,-3,-3
James McAtee,MID,77,50,0,15,12,0,0,0,0,0,2,-2,0
Anel Ahmedhodžić,DEF,31,60,4,12,0,0,0,-37,0,0,4,-9,-3
Jordan Amissah,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
George Baldock,DEF,21,23,2,0,6,0,0,-6,0,0,0,-4,0
Chris Basham,DEF,8,10,0,0,0,0,0,-1,0,0,0,-1,0
Jayden Bogle,DEF,63,65,0,18,9,0,-2,-30,0,0,12,-9,0
Rhian Brewster,FWD,11,14,0,0,0,0,0,0,0,0,0,0,-3
Ismaila Coulibaly,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Davies,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
John Egan,DEF,1,11,0,0,0,0,0,-8,0,0,0,-2,0
John Fleck,MID,3,4,0,0,0,0,0,0,0,0,0,-1,0
Wes Foderingham,GK,70,59,7,0,0,0,-2,-31,35,0,4,-2,0
Daniel Jebbison,FWD,1,1,0,0,0,0,0,0,0,0,0,0,0
Max Lowe,DEF,13,14,0,0,3,0,0,-3,0,0,0,-1,0
Oliver McBurnie,FWD,66,33,9,24,9,0,0,0,0,0,0,-3,-6
Iliman Ndiaye,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Norrington-Davies,DEF,2,5,0,0,0,0,0,-2,0,0,0,-1,0
Oliver Norwood,MID,42,42,3,5,0,0,0,0,0,0,0,-8,0
Ben Osborn,MID,38,37,0,0,6,0,-2,0,0,0,0,-3,0
William Osula,FWD,25,26,0,0,3,0,0,0,0,0,0,-4,0
Jack Robinson,DEF,33,65,1,6,3,0,-4,-32,0,0,4,-10,0
Anis Slimane,MID,14,17,0,0,0,0,-2,0,0,0,1,-2,0
Yasser Larouci,DEF,10,15,0,0,0,0,0,-4,0,0,0,-1,0
Bénie Traoré,FWD,11,11,0,0,0,0,0,0,0,0,0,0,0
Vini de Souza Costa,MID,73,63,4,5,3,0,0,0,0,0,1,-3,0
Femi Seriki,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Louie Marsh,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Brooks,MID,26,26,0,0,0,0,0,0,0,0,1,-1,0
Antwoine Hackford,FWD,2,2,0,0,0,0,0,0,0,0,0,0,0
Gustavo Hamer,MID,108,69,5,20,21,0,0,0,0,0,2,-9,0
Tom Davies,MID,7,9,0,0,0,0,0,0,0,0,0,-2,0
Luke Thomas,DEF,7,22,0,0,0,0,0,-12,0,0,0,-3,0
Ryan Oné,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Jili Buyabu,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydie Peck,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Ben Brereton,MID,62,27,5,30,3,0,0,0,0,0,0,-3,0
Ivo Grbic,GK,15,17,0,0,0,0,0,-11,10,0,0,-1,0
Billy Blacker,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Arblaster,MID,19,23,0,0,0,0,-2,0,0,0,0,-2,0
Dovydas Sasnauskas,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Curtis,DEF,1,1,0,0,0,0,0,0,0,0,0,0,0
Owen Hampson,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Brennan Johnson,MID,131,59,9,25,36,0,0,0,0,0,5,-3,0
Brandon Austin,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Bentancur,MID,32,30,0,5,3,0,0,0,0,0,1,-7,0
Yves Bissouma,MID,44,51,0,0,0,0,0,0,0,0,7,-8,-6
Bryan Gil Salvatierra,MID,12,12,0,0,0,0,0,0,0,0,0,0,0
Ben Davies,DEF,34,28,0,6,6,0,0,-8,0,0,4,-2,0
Eric Dier,DEF,2,5,0,0,0,0,0,-3,0,0,0,0,0
Emerson Leite de Souza Junior,DEF,27,33,4,6,0,0,0,-12,0,0,0,-4,0
Fraser Forster,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile Højbjerg,MID,39,44,0,0,0,0,-2,0,0,0,1,-4,0
Harry Kane,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,MID,130,66,14,40,9,0,0,0,0,0,8,-7,0
Hugo Lloris,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,MID,47,26,6,10,6,0,0,0,0,0,1,-2,0
James Maddison,MID,117,53,9,20,33,0,0,0,0,0,7,-5,0
Tanguy Ndombélé Alvaro,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Porro,DEF,136,69,20,18,24,0,0,-20,0,0,28,-3,0
Ivan Perišić,DEF,6,5,0,0,3,0,0,0,0,0,0,-2,0
Richarlison de Andrade,MID,122,44,7,55,12,0,0,0,0,0,7,-3,0
Joe Rodon,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Romero,DEF,107,63,15,30,0,0,-2,-17,0,0,28,-7,-3
Davinson Sánchez,DEF,0,2,0,0,0,0,0,-1,0,0,0,-1,0
Pape Matar Sarr,MID,86,58,4,15,9,0,0,0,0,0,9,-9,0
Ryan Sessegnon,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Skipp,MID,22,25,0,0,0,0,0,0,0,0,0,-3,0
Son Heung-min,MID,213,68,25,85,30,0,-2,0,0,0,8,-1,0
Djed Spence,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Japhet Tanganga,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Destiny Udogie,DEF,79,54,8,12,9,0,0,-16,0,0,20,-5,-3
Guglielmo Vicario,GK,112,76,9,0,0,0,0,-23,24,0,28,-2,0
Alfie Whiteman,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Manor Solomon,MID,14,7,2,0,6,0,0,0,0,0,0,-1,0
Micky van de Ven,DEF,81,52,10,18,0,0,0,-14,0,0,20,-5,0
Dane Scarlett,FWD,4,4,0,0,0,0,0,0,0,0,0,0,0
Alejo Véliz,FWD,11,8,0,4,0,0,0,0,0,0,0,-1,0
Ashley Phillips,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Donley,FWD,2,3,0,0,0,0,0,0,0,0,0,-1,0
Alfie Dorrington,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Yago de Santiago Alonso,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Werner,FWD,46,22,5,8,12,0,0,0,0,0,0,-1,0
Radu Dragusin,DEF,14,13,0,0,0,0,0,-2,0,0,4,-1,0
Mikey Moore,MID,2,2,0,0,0,0,0,0,0,0,0,0,0
Tyrese Hall,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,MID,10,14,0,0,0,0,0,0,0,0,0,-1,-3
Nayef Aguerd,DEF,36,42,0,6,0,0,0,-16,0,0,8,-1,-3
Michail Antonio,FWD,78,46,8,24,6,0,0,0,0,0,0,-6,0
Alphonse Areola,GK,116,60,11,0,0,0,-2,-17,39,10,16,-1,0
Saïd Benrahma,MID,20,18,0,0,3,-2,0,0,0,0,2,-1,0
Jarrod Bowen,MID,182,67,14,80,18,0,0,0,0,0,5,-2,0
Maxwel Cornet,MID,13,8,0,5,0,0,0,0,0,0,0,0,0
Vladimír Coufal,DEF,85,71,9,0,21,0,0,-24,0,0,16,-5,-3
Conor Coventry,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,DEF,10,14,0,0,0,0,0,-3,0,0,0,-1,0
Flynn Downes,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson Palmieri dos Santos,DEF,82,71,8,6,12,0,-2,-23,0,0,20,-10,0
Lukasz Fabianski,GK,24,17,1,0,0,0,0,-7,9,0,4,0,0
Pablo Fornals Malla,MID,19,18,0,0,0,0,0,0,0,0,1,0,0
Danny Ings,FWD,36,23,4,4,6,0,0,0,0,0,0,-1,0
Ben Johnson,DEF,17,18,0,0,0,0,0,-4,0,0,4,-1,0
Thilo Kehrer,DEF,2,4,0,0,0,0,0,0,0,0,0,-2,0
Divin Mubama,FWD,5,5,0,0,0,0,0,0,0,0,0,0,0
Lucas Tolentino Coelho de Lima,MID,100,61,7,20,18,0,0,0,0,0,4,-10,0
Gianluca Scamacca,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Souček,MID,116,68,9,35,6,0,0,0,0,0,5,-7,0
Nikola Vlašić,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Zouma,DEF,76,64,6,18,0,0,0,-21,0,0,12,-3,0
Angelo Ogbonna,DEF,19,17,0,0,0,0,0,-5,0,0,8,-1,0
Edson Álvarez Velázquez,MID,62,57,3,5,3,0,0,0,0,0,5,-11,0
Joseph Anang,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ward-Prowse,MID,146,70,19,35,21,0,0,0,0,0,5,-4,0
Konstantinos Mavropanos,DEF,40,34,3,6,0,0,-4,-9,0,0,12,-2,0
Mohammed Kudus,MID,137,60,13,40,27,0,0,0,0,0,3,-6,0
Lewis Orford,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaelan Casey,DEF,1,1,0,0,0,0,0,0,0,0,0,0,0
Oliver Scarles,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Marshall,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
George Earthy,MID,8,3,0,5,0,0,0,0,0,0,0,0,0
Tommy Doyle,MID,38,37,0,0,0,0,0,0,0,0,3,-2,0
Rayan Aït-Nouri,DEF,77,58,6,12,9,0,0,-13,0,0,12,-7,0
Daniel Bentley,GK,18,9,1,0,0,0,0,-2,2,0,8,0,0
Bendegúz Bolla,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Bueno López,DEF,29,29,0,0,0,0,-2,-5,0,0,8,-1,0
Francisco Jorge Tomás Oliveira,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Cundle,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Dawson,DEF,69,50,6,6,3,0,0,-13,0,0,24,-7,0
Fábio Silva,FWD,8,10,0,0,0,0,0,0,0,0,0,-2,0
Gonçalo Manuel Ganchinho Guedes,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Hodge,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Hee-chan,MID,125,49,10,60,9,0,0,0,0,0,3,-6,0
João Victor Gomes da Silva,MID,75,63,3,10,6,0,0,0,0,0,4,-11,0
Jonathan Castro Otto,DEF,1,1,0,0,0,0,0,0,0,0,0,0,0
Bruno Cavaco Jordão,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasa Kalajdzic,FWD,24,12,4,8,0,0,0,0,0,0,0,0,0
Max Kilman,DEF,82,76,3,12,0,0,0,-22,0,0,20,-7,0
Tom King,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Lemina,MID,95,68,13,20,3,0,0,0,0,0,4,-10,-3
Pedro Lomba Neto,MID,86,36,8,10,33,0,0,0,0,0,3,-4,0
Daniel Castelo Podence,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
José Malheiro de Sá,GK,107,68,8,0,3,0,0,-20,33,0,16,-1,0
Pablo Sarabia,MID,99,49,8,20,21,0,0,0,0,0,6,-5,0
Matija Šarkić,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Nélson Cabral Semedo,DEF,63,71,0,0,6,0,0,-21,0,0,20,-10,-3
Toti António Gomes,DEF,82,64,6,6,12,0,0,-15,0,0,16,-7,0
Boubacar Traoré,MID,25,29,0,0,0,0,0,0,0,0,0,-4,0
Matheus Santos Carneiro Da Cunha,FWD,135,60,15,48,21,0,0,0,0,0,0,-9,0
Matt Doherty,DEF,41,38,1,6,0,0,0,-6,0,0,4,-2,0
Santiago Bueno,DEF,13,20,0,0,0,0,0,-6,0,0,0,-1,0
Enso González,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Nathan Fraser,FWD,7,8,0,0,0,0,0,0,0,0,0,-1,0
Jean-Ricner Bellegarde,MID,45,31,1,10,6,0,0,0,0,0,0,0,-3
Matthew Whittingham,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawanda Chirewa,MID,8,9,0,0,0,0,0,0,0,0,0,-1,0
Justin Hubner,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Hesketh,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Barnett,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Griffiths,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Yerson Mosquera,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Noha Lemina,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Okoduwa,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Chiwome,FWD,5,5,0,0,0,0,0,0,0,0,0,0,0
Fletcher Holman,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Temple Ojinnaka,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
